user_label,seed,nclass_user,n_gs,weight,color
jdemers,0,32,0,1,#9142BE
not-logged-in-9cd156f942d1217b9b84_44d309a61db746145f28646c44ffcefc43e36d2a83a27b333393564b426fc53a,0,32,0,1,#7A7A7A
ykor67,0,32,0,1,#916472
Arvosalmi,0,32,0,1,#1A62FA
Christopher.steiner2,0,32,0,1,#62D7D9
Kellif,0,32,0,1,#A12897
mtburry,0,32,0,1,#B2CF79
cosmicwaffles,0,31,0,1,#C03BFE
jedkat,0,31,0,1,#48324F
sternenjaeger,0,31,0,1,#6B6BE4
seafury7,0,31,0,1,#1E0A1E
not-logged-in-a2daff8f3e2fa2ff40ff_5955d90399611f92c13cb0bb6191ce1aa31d852f422cacd84178dbc768c76d86,0,31,0,1,#585858
not-logged-in-21df47f153e86a3e3e41_443796894a4aa760aa03ba6901f54e90fc1c750e850745a10a6e215688f16550,0,31,0,1,#878787
Blueomega,0,31,0,1,#E4AB93
mami2019,0,31,0,1,#8436CB
djkv,0,31,0,1,#505C46
joelmackerracher,0,31,0,1,#2B18DE
